,title,gross_worldwide,movie_id,year
282,Dances with Wolves,"$424,208,848",0099348,1990
283,Twilight,"$421,667,219",1099212,2008
284,The Chronicles of Narnia: Prince Caspian,"$419,665,568",0499448,2008
285,Bad Boys for Life,"$419,074,646",1502397,2020
286,Sex and the City,"$418,765,321",0159206,1998
287,The Captain,"$416,953,262",6763252,2017
288,The Mummy,"$415,933,406",0120616,1999
289,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217",0980970,2010
290,Jason Bourne,"$415,484,914",4196776,2016
291,The Wolverine,"$414,828,246",1430132,2013
292,Kingsman: The Secret Service,"$414,351,546",2802144,2014
293,Night at the Museum: Battle of the Smithsonian,"$413,106,170",1078912,2009
294,Batman,"$411,556,825",1877830,2021
295,The Bodyguard,"$411,006,740",7493974,2018
296,Pacific Rim,"$411,002,906",1663662,2013
297,Kingsman: The Golden Circle,"$410,902,662",4649466,2017
298,The Mummy,"$409,231,607",0120616,1999
299,Ice Age: Collision Course,"$408,579,038",3416828,2016
300,Signs,"$408,247,917",8917248,2018
301,X2: X-Men United,"$407,711,549",0290334,2003
302,Alita: Battle Angel,"$404,852,543",0437086,2019
303,Toy Story,"$404,265,438",0114709,1995
304,The Mummy: Tomb of the Dragon Emperor,"$403,449,830",0859163,2008
305,Prometheus,"$403,354,469",1446714,2012
306,Gone with the Wind,"$402,352,579",0031381,1939
307,TRON: Legacy,"$400,062,763",1104001,2010
308,Mission: Impossible III,"$398,479,497",0317919,2006
309,Grease,"$397,217,505",0077631,1978
310,Snow White and the Huntsman,"$396,592,829",1735898,2012
311,Solo: A Star Wars Story,"$392,924,807",3778644,2018
312,The Wolf of Wall Street,"$392,000,694",0993846,2013
313,Superman Returns,"$391,081,192",0348150,2006
314,Robin Hood: Prince of Thieves,"$390,493,908",0102798,1991
315,Raiders of the Lost Ark,"$390,133,212",0082971,1981
316,Independence Day: Resurgence,"$389,681,935",1628841,2016
317,Back to the Future,"$388,612,911",0088763,1985
318,Live Free or Die Hard,"$388,156,011",0337978,2007
319,Monster Hunt,"$387,053,506",3781476,2015
320,Godzilla: King of the Monsters,"$386,600,138",3741700,2019
321,Home,"$386,041,607",2224026,2015
322,Star Trek,"$385,680,446",0060028,1966
323,Happy Feet,"$384,335,608",0366548,2006
324,Cars 3,"$383,930,656",3606752,2017
325,Ice Age,"$383,257,136",0268380,2002
326,Fifty Shades Darker,"$381,545,846",4465564,2017
327,Monsters vs. Aliens,"$381,509,870",0892782,2009
328,1917,"$380,867,058",8579674,2019
329,Batman Begins,"$379,714,510",0372784,2005
330,Godzilla,"$379,014,294",0831387,2014
331,True Lies,"$378,882,411",0111503,1994
332,Slumdog Millionaire,"$378,410,113",1010048,2008
333,Taken 2,"$376,141,306",1397280,2012
334,G.I. Joe: Retaliation,"$375,740,705",1583421,2013
335,Spider-Man: Into the Spider-Verse,"$375,540,831",4633694,2018
336,Mad Max: Fury Road,"$375,212,975",1392190,2015
337,Shark Tale,"$374,583,879",0307453,2004
338,Once Upon a Time... In Hollywood,"$374,343,626",7131622,2019
339,What Women Want,"$374,111,707",0207201,2000
340,The Adventures of Tintin,"$373,993,951",0983193,2011
341,Penguins of Madagascar,"$373,515,621",1911658,2014
342,X-Men Origins: Wolverine,"$373,062,864",0458525,2009
343,The Golden Compass,"$372,234,864",0385752,2007
344,Fifty Shades Freed,"$371,985,018",4477536,2018
345,Hitch,"$371,594,210",0386588,2005
346,Terminator Salvation,"$371,353,001",0438488,2009
347,Captain America: The First Avenger,"$370,569,774",0458339,2011
348,Edge of Tomorrow,"$370,541,256",1631867,2014
349,There's Something About Mary,"$369,884,651",0129387,1998
350,Gone Girl,"$369,330,363",2267998,2014
351,The Fugitive,"$368,875,760",10623550,2020
352,Jurassic Park III,"$368,780,809",0163025,2001
353,My Big Fat Greek Wedding,"$368,744,044",0259446,2002
354,Die Hard with a Vengeance,"$366,236,538",0112864,1995
355,Shazam!,"$365,971,656",0448115,2019
356,The Nun,"$365,550,119",5814060,2018
357,Alvin and the Chipmunks,"$365,352,546",0952640,2007
358,Home Alone 2: Lost in New York,"$365,154,932",0104431,1992
359,Notting Hill,"$363,944,522",0125439,1999
360,A Bug's Life,"$363,258,859",0120623,1998
361,Night at the Museum: Secret of the Tomb,"$363,204,635",2692250,2014
362,Ocean's Twelve,"$362,744,280",0349903,2004
363,Planet of the Apes,"$362,211,740",0133152,2001
364,The Hangover Part III,"$362,000,072",1951261,2013
365,The World Is Not Enough,"$361,832,400",0143145,1999
366,Monster Hunt 2,"$361,682,618",6170484,2018
367,Fast & Furious,"$360,364,265",0232500,2001
368,Noah,"$359,200,044",1959490,2014
369,The Karate Kid,"$359,126,022",0087538,1984
370,Hotel Transylvania,"$358,375,603",0837562,2012
371,Minority Report,"$358,372,926",0181689,2002
372,Your Name.,"$357,986,087",5311514,2016
373,Top Gun,"$356,830,601",0092099,1986
374,The Legend of Tarzan,"$356,700,357",0918940,2016
375,American Beauty,"$356,296,601",0169547,1999
376,Spirited Away,"$355,467,056",0245429,2001
377,Apollo 13,"$355,237,933",0112384,1995
378,Rain Man,"$354,825,435",0095953,1988
379,The Great Gatsby,"$353,641,895",1343092,2013
380,Dumbo,"$353,284,621",3861390,2019
381,"I, Robot","$353,133,898",0343818,2004
382,Basic Instinct,"$352,927,224",0103772,1992
383,Murder on the Orient Express,"$352,789,811",3402236,2017
384,X-Men: First Class,"$352,616,690",1270798,2011
385,The Angry Birds Movie,"$352,333,929",1985949,2016
386,GoldenEye,"$352,194,034",0113189,1995
387,Catch Me If You Can,"$352,114,312",0264464,2002
388,Now You See Me,"$351,723,989",1670345,2013
389,Hannibal,"$351,692,268",2243973,2013
390,The Mask,"$351,583,407",0110475,1994
391,Peter Rabbit,"$351,266,433",5117670,2018
392,Speed,"$350,448,145",0111257,1994
393,Dinosaur,"$349,822,765",0130623,2000
394,Mary Poppins Returns,"$349,545,966",5028340,2018
395,Deep Impact,"$349,464,664",0120647,1998
396,The Lorax,"$348,840,316",1482459,2012
397,The Maze Runner,"$348,319,861",1790864,2014
398,The Smurfs 2,"$347,545,360",2017020,2013
399,National Treasure,"$347,512,318",0368891,2004
400,Rush Hour 2,"$347,325,802",0266915,2001
401,Trolls,"$346,864,462",1679335,2016
402,xXx: Return of Xander Cage,"$346,118,277",1293847,2017
