,title,gross_worldwide
352,Jurassic Park III,"$368,780,809"
353,My Big Fat Greek Wedding,"$368,744,044"
354,Die Hard with a Vengeance,"$366,236,538"
355,Shazam!,"$365,971,656"
356,The Nun,"$365,550,119"
357,Alvin and the Chipmunks,"$365,352,546"
358,Home Alone 2: Lost in New York,"$365,154,932"
359,Notting Hill,"$363,944,522"
360,A Bug's Life,"$363,258,859"
361,Night at the Museum: Secret of the Tomb,"$363,204,635"
362,Ocean's Twelve,"$362,744,280"
363,Planet of the Apes,"$362,211,740"
364,The Hangover Part III,"$362,000,072"
365,The World Is Not Enough,"$361,832,400"
366,Monster Hunt 2,"$361,682,618"
367,Fast & Furious,"$360,364,265"
368,Noah,"$359,200,044"
369,The Karate Kid,"$359,126,022"
370,Hotel Transylvania,"$358,375,603"
371,Minority Report,"$358,372,926"
372,Your Name.,"$357,986,087"
373,Top Gun,"$356,830,601"
374,The Legend of Tarzan,"$356,700,357"
375,American Beauty,"$356,296,601"
376,Spirited Away,"$355,467,056"
377,Apollo 13,"$355,237,933"
378,Rain Man,"$354,825,435"
379,The Great Gatsby,"$353,641,895"
380,Dumbo,"$353,284,621"
381,"I, Robot","$353,133,898"
382,Basic Instinct,"$352,927,224"
383,Murder on the Orient Express,"$352,789,811"
384,X-Men: First Class,"$352,616,690"
385,The Angry Birds Movie,"$352,333,929"
386,GoldenEye,"$352,194,034"
387,Catch Me If You Can,"$352,114,312"
388,Now You See Me,"$351,723,989"
389,Hannibal,"$351,692,268"
390,The Mask,"$351,583,407"
391,Peter Rabbit,"$351,266,433"
392,Speed,"$350,448,145"
393,Dinosaur,"$349,822,765"
394,Mary Poppins Returns,"$349,545,966"
395,Deep Impact,"$349,464,664"
396,The Lorax,"$348,840,316"
397,The Maze Runner,"$348,319,861"
398,The Smurfs 2,"$347,545,360"
399,National Treasure,"$347,512,318"
400,Rush Hour 2,"$347,325,802"
401,Trolls,"$346,864,462"
402,xXx: Return of Xander Cage,"$346,118,277"
403,Pocahontas,"$346,079,773"
404,How the Grinch Stole Christmas,"$345,141,403"
405,Star Trek Beyond,"$343,471,816"
406,Alvin and the Chipmunks: Chipwrecked,"$342,695,435"
407,Wanted,"$342,463,063"
408,The Flintstones,"$341,631,208"
409,A Quiet Place,"$340,949,169"
410,Enchanted,"$340,487,652"
411,Over the Hedge,"$339,795,890"
412,300: Rise of an Empire,"$337,580,051"
413,Batman Forever,"$336,567,531"
414,Prince of Persia: The Sands of Time,"$336,365,676"
415,Back to the Future Part II,"$335,973,020"
416,The Curious Case of Benjamin Button,"$335,802,786"
417,Journey 2: The Mysterious Island,"$335,260,290"
418,The Rock,"$335,062,621"
419,The Great Wall,"$334,933,831"
420,Now You See Me 2,"$334,897,606"
421,Fantastic Four,"$333,535,934"
422,Indiana Jones and the Temple of Doom,"$333,107,271"
423,Tomorrow Never Dies,"$333,011,068"
424,The Good Dinosaur,"$332,207,671"
425,22 Jump Street,"$331,333,876"
426,Meet the Parents,"$330,444,045"
427,Who Framed Roger Rabbit,"$329,803,958"
