,Topic_0,Topic_1,Topic_2,title,Order,genres,rating
100,0.1626272052526474,0.7446246147155762,0.09274820238351822,The Hunger Games: Mockingjay - Part 1,"1,0,2","['Thriller', 'Sci', 'Adventure', 'Action']",6.6
101,0.3088749945163727,0.43134433031082153,0.2597806751728058,Shrek Forever After,"1,0,2","['Adventure', 'Comedy', 'Family', 'Romance', 'Fantasy', 'Animation']",6.3
102,0.2443677932024002,0.18471908569335938,0.5709131360054016,Madagascar 3: Europe's Most Wanted,"2,0,1","['Family', 'Adventure', 'Comedy', 'Animation']",6.8
103,0.44892069697380066,0.29383260011672974,0.2572467029094696,Suicide Squad,"0,1,2","['Fantasy', 'Sci', 'Adventure', 'Action']",6.0
104,0.3355299234390259,0.02218930423259735,0.6422808170318604,X-Men: Days of Future Past,"2,0,1","['Thriller', 'Sci', 'Adventure', 'Action']",8.0
105,0.4497118294239044,0.2358027547597885,0.31448543071746826,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","0,2,1","['Family', 'Adventure', 'Fantasy']",6.9
106,0.38152453303337097,0.506315290927887,0.11216017603874207,Monsters University,"1,0,2","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",7.3
107,0.3862433433532715,0.45195236802101135,0.16180431842803955,The Matrix Reloaded,"1,0,2","['Sci', 'Action']",7.2
108,0.4718549847602844,0.3613210916519165,0.16682395339012146,Up,"0,1,2","['Family', 'Adventure', 'Comedy', 'Animation']",8.2
109,0.2029285579919815,0.35571372509002686,0.44135773181915283,Ne Zha,"2,1,0","['Adventure', 'Thriller', 'Family', 'Fantasy', 'Animation', 'Action']",7.5
110,0.40347304940223694,0.5728370547294617,0.02368989773094654,The Twilight Saga: New Moon,"1,0,2","['Romance', 'Adventure', 'Fantasy', 'Drama']",4.7
111,0.045027002692222595,0.2573997974395752,0.6975732445716858,Gravity,"2,1,0","['Thriller', 'Sci', 'Drama']",7.7
112,0.28972741961479187,0.5080314874649048,0.20224107801914215,Captain America: The Winter Soldier,"1,0,2","['Thriller', 'Sci', 'Adventure', 'Action']",7.7
113,0.3208833336830139,0.4017023742198944,0.2774142622947693,The Twilight Saga: Breaking Dawn - Part 1,"1,0,2","['Adventure', 'Drama', 'Thriller', 'Romance', 'Fantasy']",4.9
114,0.41462844610214233,0.30072021484375,0.28465133905410767,Dawn of the Planet of the Apes,"0,1,2","['Sci', 'Adventure', 'Action', 'Drama']",7.6
115,0.021236548200249672,0.5197387933731079,0.45902466773986816,Transformers,"1,2,0","['Sci', 'Adventure', 'Action']",7.0
116,0.48029083013534546,0.19431200623512268,0.32539716362953186,The Amazing Spider-Man 2,"0,2,1","['Sci', 'Adventure', 'Action']",6.6
117,0.286731481552124,0.24853654205799103,0.46473196148872375,It,"2,0,1",['Horror'],7.3
118,0.4468756318092346,0.3639453947544098,0.18917901813983917,The Wandering Earth,"0,1,2","['Sci', 'Action']",6.0
119,0.3560299277305603,0.2882624566555023,0.3557076156139374,Interstellar,"0,2,1","['Thriller', 'Sci', 'Adventure', 'Drama']",8.6
120,0.251543253660202,0.5459511280059814,0.20250557363033295,The Twilight Saga: Eclipse,"1,0,2","['Romance', 'Adventure', 'Fantasy', 'Drama']",5.0
121,0.4677184820175171,0.20548789203166962,0.3267936110496521,Mission: Impossible - Ghost Protocol,"0,2,1","['Thriller', 'Adventure', 'Action']",7.4
122,0.3205370306968689,0.49236640334129333,0.18709655106067657,The Hunger Games,"1,0,2","['Thriller', 'Sci', 'Adventure', 'Action']",7.2
